Serial #s, 
, , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, 	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0007,14.88,4.03,19.01,3.96,18.77,PASS,PASS,5.33,21.98,7.43,21.95,7.45,10005,48.74,10041.42,48.9,31384.86,57.47,31384.86,48.8,50.06406,50.02601,PASSING,PASSED,PASSED,PASSED,1030.2,972.8,PASS,
ZJ2404122-001-0004,14.87,4.01,18.79,3.96,18.74,PASS,PASS,5.33,21.98,7.42,21.95,7.44,10000,48.68,10041.42,48.94,31421.84,57.46,31421.84,48.78,50.04421,49.95704,PASSING,PASSED,PASSED,PASSED,999.4,9.91E+46,FAIL,Failed High Side Deadtime Test 
ZJ2404122-001-0004,14.87,4.02,18.77,3.85,18.74,PASS,PASS,5.33,21.99,7.43,21.96,7.44,10003.75,48.73,10041.42,48.88,31409.5,56.65,31409.5,48.65,49.94589,49.991,PASSED,PASSED,PASSED,PASSED,1004,1000,PASS,
ZJ2404122-001-0001,14.89,4.15,18.47,3.93,18.79,PASS,PASS,5.35,21.99,7.42,21.95,7.47,10001.25,48.68,10041.42,48.89,31397.17,58.28,31397.17,49.02,50.05907,50.01801,PASSING,PASSED,PASSED,PASSED,1009.6,992.8,PASS,
ZJ2404122-001-0003,14.88,4.06,18.77,3.94,18.73,PASS,PASS,5.35,21.98,7.43,21.96,7.45,10002.5,48.72,10041.42,48.88,31347.96,57.01,31347.96,48.43,50.015,50.04004,PASSED,PASSED,PASSED,PASSED,986.4,1327.2,PASS,
ZJ2404122-001-0010,14.88,4.02,18.75,3.99,18.85,PASS,PASS,5.34,21.98,7.45,21.96,7.45,10001.25,48.71,10041.42,48.89,31434.18,57.49,31434.18,48.96,49.985,50.04704,PASSED,PASSED,PASSED,PASSED,997.6,989.8,PASS,
ZJ2404122-001-0009,14.87,4,18.66,3.87,18.72,PASS,PASS,5.32,21.98,7.45,21.95,7.44,10002.5,48.71,10041.42,48.89,31397.17,57.1,31397.17,48.51,50.0055,50.03603,PASSED,PASSED,PASSED,PASSED,1015.2,980.8,PASS,
ZJ2404122-001-0002,14.88,3.98,18.79,3.83,18.8,PASS,PASS,5.33,22,7.44,21.95,7.45,10005,48.75,10041.42,48.89,31298.9,57.08,31298.9,49.65,49.94624,49.98101,PASSED,PASSED,PASSED,PASSED,1015.8,985.6,PASS,
ZJ2404122-001-0006,14.89,4.02,18.72,4,18.68,PASS,PASS,5.36,21.98,7.42,21.95,7.45,10003.75,48.74,10041.42,48.89,31446.54,57.47,31446.54,51.97,49.991,49.996,PASSED,PASSED,PASSED,PASSED,1008,990.4,PASS,
ZJ2404122-001-0005,14.88,4.07,18.73,3.89,18.69,PASS,PASS,5.35,21.99,7.44,21.97,7.45,10005,48.74,10041.42,48.86,31372.55,57.1,31372.55,47.8,49.989,49.97102,PASSING,PASSED,PASSED,PASSED,1009.6,1016.8,PASS,
ZJ2404122-001-0011,14.88,4.01,18.83,3.95,18.73,PASS,PASS,5.32,21.98,7.43,21.96,7.45,10005,48.7,10041.42,48.86,31384.86,57.43,31384.86,51.79,50.01601,50.07913,PASSING,PASSED,PASSED,PASSED,1000.8,991.8,PASS,
ZJ2404122-001-0012,14.89,4.01,18.64,3.81,18.8,PASS,PASS,5.35,21.99,7.44,21.95,7.46,10003.75,48.73,10041.42,48.89,31409.5,59.8,31409.5,48.25,49.992,50.03402,PASSING,PASSED,PASSED,PASSED,1004.8,1000,PASS,
