Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0822,14.87,3.98,18.73,3.89,18.78,PASS,PASS,PASS,PASS,5.35,22,7.44,21.98,7.46,10003,49,10041,49,31397,57,31397,49,49.999,50.05302,PASSED,PASSED,PASSED,PASSED,1016,1022.4,PASS,
ZJ2404122-001-0821,14.88,4.05,18.65,4.03,18.77,PASS,PASS,PASS,PASS,5.33,21.99,7.41,21.97,7.44,10008,49,10041,49,31410,58,31410,48,50.01,49.994,PASSED,PASSED,PASSED,PASSED,996.8,1374.4,PASS,
ZJ2404122-001-0811,14.89,3.99,18.74,3.97,18.82,PASS,PASS,PASS,PASS,5.33,22.01,7.42,21.97,7.45,10003,49,10041,49,31299,57,31287,52,49.96802,50.03502,PASSED,PASSED,FAILED,FAILED,1021.4,1342.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0811,14.88,4,18.72,4,18.82,PASS,PASS,PASS,PASS,5.33,22,7.43,21.97,7.44,10005,49,10041,49,31311,57,31299,50,50.002,49.94955,PASSED,PASSED,PASSED,PASSED,1010.6,1370.4,PASS,
ZJ2404122-001-0828,14.87,4.03,18.81,4.03,18.74,PASS,PASS,PASS,PASS,5.33,22,7.43,21.97,7.45,10005,49,10041,49,31410,57,31410,52,50.04704,49.95755,PASSING,PASSED,FAILED,FAILED,996.2,992.8,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0828,14.89,4.08,18.82,4.03,18.82,PASS,PASS,PASS,PASS,5.33,22,7.46,21.97,7.45,10006,49,10041,49,31397,58,31385,46,49.97501,50.01297,PASSING,PASSED,FAILED,FAILED,1021.4,1002.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
KF2405070021098755,14.88,4.16,18.83,4.08,18.8,PASS,PASS,PASS,PASS,5.33,22,7.44,21.97,7.45,10005,49,10041,49,31410,58,31410,49,50.04505,50.00252,PASSED,PASSED,PASSED,PASSED,1015,992.8,PASS,
ZJ2404122-001-0829,14.88,3.96,18.75,3.99,18.77,PASS,PASS,PASS,PASS,5.35,21.99,7.42,21.95,7.49,10003,49,10041,49,31410,57,31410,51,50.01901,50.04304,PASSED,PASSED,PASSED,PASSED,1000,1351.2,PASS,
ZJ2404122-001-0830,14.88,4.1,18.79,3.81,18.85,PASS,PASS,PASS,PASS,5.32,21.99,7.42,21.97,7.45,10004,49,10041,49,31348,57,31348,49,49.96204,49.985,PASSED,PASSED,PASSED,PASSED,1020.8,981.6,PASS,
ZJ2404122-001-0831,14.88,3.99,18.9,4.1,18.92,PASS,PASS,PASS,PASS,5.31,21.99,7.43,21.96,7.45,10001,49,10041,49,31373,58,31373,48,50.04003,50.007,PASSED,PASSED,PASSED,PASSED,1002.4,1331.2,PASS,
ZJ2404122-001-0832,14.87,4.04,18.78,3.8,18.76,PASS,PASS,PASS,PASS,5.31,22,7.44,21.96,7.48,10000,49,10041,49,31385,57,31385,49,50.04103,50.01304,PASSED,PASSED,PASSED,PASSED,1016.8,986.4,PASS,
ZJ2404122-001-0833,14.87,4.04,18.68,3.97,18.89,PASS,PASS,PASS,PASS,5.35,22,7.43,21.96,7.44,10004,49,10041,49,31360,57,31360,45,49.98101,50.02701,PASSING,PASSED,PASSED,PASSED,991.2,975.2,PASS,
ZJ2404122-001-0834,14.88,4.07,18.56,4.05,18.76,PASS,PASS,PASS,PASS,5.34,21.99,7.43,21.97,7.45,10003,49,10041,49,31447,57,31447,51,49.94606,50.003,PASSED,PASSED,FAILED,FAILED,990.6,1000.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0834,14.87,4.05,18.61,4.02,18.77,PASS,PASS,PASS,PASS,5.35,21.99,7.43,21.98,7.46,10001,49,10041,49,31447,57,31447,46,49.96103,49.96403,PASSED,PASSED,PASSED,PASSED,991.8,999.8,PASS,
ZJ2404122-001-0835,14.88,4,18.77,3.96,18.79,PASS,PASS,PASS,PASS,5.31,21.97,7.43,21.94,7.44,10003,49,10041,49,31385,58,31385,51,49.996,50.02251,PASSED,PASSED,PASSED,PASSED,1001.6,990.4,PASS,
ZJ2404122-001-0836,14.88,4.18,18.67,3.91,18.69,PASS,PASS,PASS,PASS,5.35,21.98,7.43,21.97,7.45,10004,49,10041,49,31447,57,31447,49,50.012,49.96303,PASSED,PASSED,PASSED,PASSED,1010.4,962.2,PASS,
ZJ2404122-001-0837,14.87,4.14,18.56,3.94,18.75,PASS,PASS,PASS,PASS,5.33,21.99,7.43,21.93,7.45,10003,49,10041,49,31410,57,31410,45,49.991,49.999,PASSED,PASSED,PASSED,PASSED,1016.2,1345.6,PASS,
ZJ2404122-001-0838,14.89,4,18.78,4.13,18.72,PASS,PASS,PASS,PASS,5.37,21.94,7.42,21.96,7.45,10003,49,10041,49,31385,57,31385,50,50.003,49.986,PASSING,PASSED,PASSED,PASSED,1016.8,1003.2,PASS,
ZJ2404122-001-0839,14.87,4.15,18.72,4.09,18.75,PASS,PASS,PASS,PASS,1,21.98,7.42,21.96,7.44,10003,49,10041,49,31422,58,31434,46,49.9171,50.02601,PASSED,PASSED,PASSED,PASSED,991.2,984.8,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-0839,14.87,4.08,18.83,4.04,18.81,PASS,PASS,PASS,PASS,5.34,21.98,7.44,21.95,7.49,10005,49,10041,49,31410,58,31410,47,50.012,50.03002,PASSED,PASSED,PASSED,PASSED,1022.6,979.2,PASS,
ZJ2404122-001-0840,14.87,4.04,18.78,3.86,18.79,PASS,PASS,PASS,PASS,5.32,21.98,7.44,21.96,7.44,10005,49,10041,49,31311,57,31311,49,49.95804,50.02601,PASSED,PASSED,PASSED,PASSED,996.6,991.2,PASS,
ZJ2404122-001-0841,14.9,4.04,18.83,3.94,18.91,PASS,PASS,PASS,PASS,5.36,21.98,7.45,21.92,7.5,10004,49,10041,49,31360,57,31360,48,49.97002,50.00897,PASSING,PASSED,PASSED,PASSED,1020,981.6,PASS,
ZJ2404122-001-0842,14.88,4.06,18.62,3.84,18.68,PASS,PASS,PASS,PASS,5.34,22,7.44,21.97,7.48,10004,49,10041,49,31447,57,31447,48,50.01601,49.999,PASSING,PASSED,FAILED,FAILED,1008.8,982.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0842,14.87,4.03,18.64,3.83,18.69,PASS,PASS,PASS,PASS,5.34,22,7.47,21.97,7.44,10004,49,10041,49,31410,57,31410,47,50.02301,49.93508,PASSING,PASSED,PASSED,PASSED,1015.8,1370.4,PASS,
ZJ2404122-001-0843,14.87,4.07,18.73,4.08,18.65,PASS,PASS,PASS,PASS,5.34,21.97,7.45,21.96,7.5,10001,49,10041,49,31385,57,31385,42,50.03202,49.98001,PASSING,PASSED,PASSED,PASSED,980.8,1004.8,PASS,
ZJ2404122-001-0843,14.88,4.07,18.77,4.07,18.67,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.96,7.45,10004,49,10041,49,31397,57,31397,48,49.986,50.06609,PASSED,PASSED,PASSED,PASSED,1024.6,999.2,PASS,
ZJ2404122-001-0844,14.87,3.99,18.84,4.03,18.71,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.96,7.49,10005,49,10041,49,31311,57,31311,49,50.03803,50.02197,PASSED,PASSED,PASSED,PASSED,989.6,1004.8,PASS,
ZJ2404122-001-0845,14.88,4.1,18.6,4.04,18.77,PASS,PASS,PASS,PASS,5.37,21.98,7.44,21.95,7.45,10000,49,10041,49,31373,58,31373,48,49.95105,50.00697,PASSED,PASSED,PASSED,PASSED,1013.6,1366.4,PASS,
ZJ2404122-001-0846,14.9,3.98,18.62,4.11,18.69,PASS,PASS,PASS,PASS,5.35,21.98,7.43,21.94,7.45,10001,49,10041,49,31459,57,31459,51,50.09418,50.01249,PASSED,PASSED,FAILED,FAILED,980.8,1008,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0846,14.9,4.01,18.66,4.13,18.7,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.94,7.46,10000,49,10041,49,31447,57,31447,49,49.96203,49.98952,PASSED,PASSED,PASSED,PASSED,1004,1351.2,PASS,
ZJ2404122-001-0847,14.89,4,18.72,3.97,18.79,PASS,PASS,PASS,PASS,5.35,21.98,7.43,21.94,7.44,10003,49,10041,49,31373,57,31385,48,50.01601,50.0145,PASSED,PASSED,PASSED,PASSED,1007.2,996.8,PASS,
ZJ2404122-001-0848,14.87,4.06,18.66,3.9,18.75,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.95,7.47,10001,49,10041,49,31348,57,31360,49,49.90418,49.92611,PASSED,PASSED,FAILED,FAILED,1012,1351.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0848,14.88,4.05,18.79,3.94,18.81,PASS,PASS,PASS,PASS,5.35,21.97,7.43,21.95,7.46,10006,49,10041,49,31373,58,31360,47,50.01901,49.99751,PASSING,PASSED,FAILED,FAILED,1020,984,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0848,14.88,4.11,18.67,3.88,18.73,PASS,PASS,PASS,PASS,5.33,21.99,7.46,21.96,7.47,10006,49,10041,49,31360,57,31360,51,49.93608,49.96602,PASSED,PASSED,FAILED,FAILED,1019.8,996,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0849,14.89,3.98,18.66,3.78,18.73,PASS,PASS,PASS,PASS,5.33,21.98,7.43,21.89,7.44,10005,49,10041,49,31385,58,31385,49,50.02001,50.01104,PASSED,PASSED,PASSED,PASSED,1010.4,996.8,PASS,
ZJ2404122-001-0850,14.88,4.05,18.73,3.94,18.77,PASS,PASS,PASS,PASS,5.33,21.98,7.44,21.94,7.47,10004,49,10041,49,31471,57,31471,49,50.04003,50.03102,PASSING,PASSED,PASSED,PASSED,1014.6,978.4,PASS,
ZJ2404122-001-0851,14.87,4.01,18.67,3.99,18.78,PASS,PASS,PASS,PASS,5.35,21.98,7.43,21.96,7.45,10000,49,10041,49,31311,57,31311,49,50.06505,49.96802,PASSED,PASSED,PASSED,PASSED,1017.6,1360.8,PASS,
ZJ2404122-001-0852,14.87,4.01,18.78,4.05,18.75,PASS,PASS,PASS,PASS,5.38,21.97,7.42,21.96,7.45,10003,49,10041,49,31410,57,31410,46,50.011,50.00597,PASSED,PASSED,PASSED,PASSED,1019.8,1352.8,PASS,
